request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,291.35,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,3461.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-23. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,2732930.06,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 16,588,900 minimum protected."
request_32,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,24891.35,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 2026-03-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,22877.65,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,581.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the USD 2,400 minimum protected."
request_37,4417999.27,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,204.36,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the EUR 400 minimum protected.
request_39,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 213,400 minimum protected."
request_40,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,500 minimum protected."
request_41,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 25,366,600 minimum protected."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,7336604.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 21,398,000 minimum protected."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the INR 82,900 minimum protected."
request_45,3275615.83,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,35126.66,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-07,none,"Use 2 installments of INR 25,714, starting 2024-12-03. This leaves at least INR 84,000 available."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-24. None of the available options keeps the INR 71,300 minimum protected."
request_49,12751170.06,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,15667.11,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 28,870 request. Although INR 15,667.11 is available today, the full amount cannot be completed safely within 90 days."
request_53,465.18,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available."
request_54,1904.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,128967.11,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-22. None of the available options keeps the INR 124,300 minimum protected."
request_56,528.34,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-08,none,"Use 2 installments of USD 458.42, starting 2025-02-03. This leaves at least USD 2,100 available."
request_57,10213.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 42,700 minimum protected."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 132,600 available."
